278.966.011,41 
140.955.574,49 
12.893.986,19 
367.452,18 
126.661.810,35 
202.736.569,57 
78.704,20 
9.885,87 
-12.122,79 
3.481.878,87 
6.034,09 
676.916,45 
-6.790.921,13 
2.400.466,46 
3.795.220,51 
3.922.197,48 
437.108.294,83 
11.538.051,61 
111.069,86 
279.766.467,41 
141.756.030,49 
13.694.442,19 
1.167.908,18 
127.462.266,35 
203.537.025,57 
879.160,20 
810.341,87 
788.333,21 
4.282.334,87 
806.490,09 
1.477.372,45 
-5.990.465,13 
3.200.922,46 
4.595.676,51 
4.722.653,48 
437.908.750,83 
12.338.507,61 
911.525,86 
-278.966.011,41 
140.955.574,49 
